date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:44	180042/180042	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:39:43%20GMT	https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html	./SITES/Area%20of%20Triangle/study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html	(from )
21:39:45	121/121	---M--	200	added ('OK')	text/plain	etag:W/%22121-1547511298000%22	https://study.com/robots.txt		(from )
21:39:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://study.com/images/StudyCom-og-Facebook-Logo.jpg	./SITES/Area%20of%20Triangle/study.com/images/StudyCom-og-Facebook-Logo.1.delayed	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:46	80406/80406	---M--	200	added ('OK')	image/jpeg	etag:%225c75dab2-13a16%22	https://study.com/images/StudyCom-og-Facebook-Logo.jpg	./SITES/Area%20of%20Triangle/study.com/images/StudyCom-og-Facebook-Logo.jpg	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:47	12154/12154	---M-Z	200	added ('OK')	text/css	etag:W/%225c75db92-2f7a%22	https://study.com/css/openSans-0037d119cd.css	./SITES/Area%20of%20Triangle/study.com/css/openSans-0037d119cd.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:48	13639/13639	---M-Z	200	added ('OK')	text/css	etag:W/%225c75db92-3547%22	https://study.com/css/icons/icomoonSwap-ddfa762cb5.css	./SITES/Area%20of%20Triangle/study.com/css/icons/icomoonSwap-ddfa762cb5.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:50	223964/223964	---MCZ	200	added ('OK')	text/css	etag:W/%225c75db92-36adc%22	https://study.com/css/pages/globalFast-05e9320250.css	./SITES/Area%20of%20Triangle/study.com/css/pages/globalFast-05e9320250.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:51	223395/223395	---MCZ	200	added ('OK')	text/css	etag:W/%225c75db92-368a3%22	https://study.com/css/pages/globalDefer-f3c7a1589b.css	./SITES/Area%20of%20Triangle/study.com/css/pages/globalDefer-f3c7a1589b.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:51	1250/1250	---M-Z	200	added ('OK')	text/css	etag:W/%225c75db94-4e2%22	https://study.com/css/notification/humane-3.2.0-themes/remilon-custom-6af209b03a.css	./SITES/Area%20of%20Triangle/study.com/css/notification/humane-3.2.0-themes/remilon-custom-6af209b03a.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:52	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:W/%221150-1547511296000%22	https://study.com/favicon.ico?v=2	./SITES/Area%20of%20Triangle/study.com/favicon5e1f.ico	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:54	215503/215503	---MCZ	200	added ('OK')	text/css	etag:W/%225c75db92-349cf%22	https://study.com/css/pages/lessonFast-e3a99822ff.css	./SITES/Area%20of%20Triangle/study.com/css/pages/lessonFast-e3a99822ff.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:55	421303/421303	---MCZ	200	added ('OK')	text/css	etag:W/%225c75db92-66db7%22	https://study.com/css/pages/lessonDefer-26fb9ba67b.css	./SITES/Area%20of%20Triangle/study.com/css/pages/lessonDefer-26fb9ba67b.css	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:55	22050/22050	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:39:54%20GMT	https://study.com/academy/plans/teacher.html	./SITES/Area%20of%20Triangle/study.com/academy/plans/teacher.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:56	67107/67107	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:39:55%20GMT	https://study.com/academy/plans/teacher-group.html	./SITES/Area%20of%20Triangle/study.com/academy/plans/teacher-group.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:57	2721/2721	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2005:39:56%20GMT	https://study.com/academy/plans/enterprise.html	./SITES/Area%20of%20Triangle/study.com/academy/plans/enterprise.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:58	32572/32572	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:39:57%20GMT	https://study.com/pages/working-scholars-enterprise.html	./SITES/Area%20of%20Triangle/study.com/pages/working-scholars-enterprise.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:39:59	2360/2360	---M--	200	added ('OK')	image/png	etag:%225c75db96-938%22	https://study.com/images/reDesign/global/logo.png	./SITES/Area%20of%20Triangle/study.com/images/reDesign/global/logo.png	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:40:00	55713/55713	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:39:59%20GMT	https://study.com/academy/login.html	./SITES/Area%20of%20Triangle/study.com/academy/login.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:40:01	277091/277091	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:39:59%20GMT	https://study.com/	./SITES/Area%20of%20Triangle/study.com/index.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
21:40:01	36306/36306	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:40:00%20GMT	https://study.com/academy/plans.html	./SITES/Area%20of%20Triangle/study.com/academy/plans.html	(from https://study.com/academy/lesson/how-to-find-the-area-of-a-triangle-lesson-for-kids.html)
