date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:11	364420/364420	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2006:19:10%20GMT	https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/	./SITES/Einstein%20Kids/www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/index.html	(from )
22:19:11	2395/2395	---M-Z	200	added ('OK')	text/plain	etag:%2244d956d-22a6-58280b6854989%22	https://www.forbes.com/robots.txt		(from )
22:19:12	87687/87687	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Feb%202019%2020:30:24%20GMT	https://i.forbesimg.com/ng2/4207bf2985b37893fbdb.polyfills.js	./SITES/Einstein%20Kids/i.forbesimg.com/ng2/4207bf2985b37893fbdb.polyfills.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:14	530769/530769	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Feb%202019%2020:30:24%20GMT	https://i.forbesimg.com/ng2/7e169d587ca7c9bbb1c4.vendors.js	./SITES/Einstein%20Kids/i.forbesimg.com/ng2/7e169d587ca7c9bbb1c4.vendors.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:14	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2006:19:12%20GMT	https://i.forbesimg.com/ng2/	./SITES/Einstein%20Kids/i.forbesimg.com/ng2/index.html	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:14	20968/20968	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2026%20Feb%202019%2014:51:45%20GMT	https://i.forbesimg.com/ng2/b4aa442a1a8b1f30b071.fbs.js	./SITES/Einstein%20Kids/i.forbesimg.com/ng2/b4aa442a1a8b1f30b071.fbs.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:15	90194/90194	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2026%20Feb%202019%2014:51:45%20GMT	https://i.forbesimg.com/ng2/874c141911796260076e.app.js	./SITES/Einstein%20Kids/i.forbesimg.com/ng2/874c141911796260076e.app.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:16	25048/25048	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:22:08%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-bolditalic-webfont.woff2	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-bolditalic-webfont.woff2	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:17	32044/32044	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:22:08%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-bolditalic-webfont.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-bolditalic-webfont.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:18	23636/23636	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:22:08%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-bold-webfont.woff2	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-bold-webfont.woff2	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:19	30400/30400	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:22:08%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-bold-webfont.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-bold-webfont.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:20	25304/25304	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:23:28%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-italic-webfont.woff2	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-italic-webfont.woff2	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:21	32348/32348	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:23:28%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-italic-webfont.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-italic-webfont.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:22	23392/23392	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:23:28%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-regular-webfont.woff2	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-regular-webfont.woff2	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:23	30024/30024	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2015:23:28%20GMT	https://i.forbesimg.com/assets/fonts/merriweather/merriweather-regular-webfont.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/merriweather/merriweather-regular-webfont.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:24	25384/25384	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2016:43:20%20GMT	https://i.forbesimg.com/assets/fonts/work-sans/worksans-semibold-webfont.woff2	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/work-sans/worksans-semibold-webfont.woff2	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:25	32024/32024	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2016:43:20%20GMT	https://i.forbesimg.com/assets/fonts/work-sans/worksans-semibold-webfont.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/work-sans/worksans-semibold-webfont.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:26	23916/23916	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2016:43:20%20GMT	https://i.forbesimg.com/assets/fonts/work-sans/worksans-regular-webfont.woff2	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/work-sans/worksans-regular-webfont.woff2	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:27	30380/30380	---M-Z	200	added ('OK')	application/octet-stream	date:Thu,%2012%20Apr%202018%2016:43:20%20GMT	https://i.forbesimg.com/assets/fonts/work-sans/worksans-regular-webfont.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/work-sans/worksans-regular-webfont.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:28	22622/22622	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Jan%202018%2017:21:08%20GMT	https://i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.eot	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.eot	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:29	22622/22622	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Jan%202018%2017:21:08%20GMT	https://i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.eot?	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicond41d.eot	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:30	14192/14192	---M-Z	200	added ('OK')	application/octet-stream	date:Mon,%2008%20Jan%202018%2017:21:08%20GMT	https://i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.woff	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.woff	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:31	22436/22436	---M-Z	200	added ('OK')	application/octet-stream	date:Mon,%2008%20Jan%202018%2017:21:08%20GMT	https://i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.ttf	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.ttf	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:32	56805/56805	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Jan%202018%2017:21:08%20GMT	https://i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.svg	./SITES/Einstein%20Kids/i.forbesimg.com/assets/fonts/fbs-typography/0233/forbesicon.svg	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:33	16445/16445	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Feb%202019%2022:35:14%20GMT	https://cdn.speedcurve.com/js/lux.js?id=22432108	./SITES/Einstein%20Kids/cdn.speedcurve.com/js/luxc712.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:35	33024/33024	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20Feb%202019%2006:19:34%20GMT	https://www.googletagservices.com/tag/js/gpt.js	./SITES/Einstein%20Kids/www.googletagservices.com/tag/js/gpt.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:36	380471/380471	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Feb%202019%2023:09:13%20GMT	https://native.sharethrough.com/assets/sfp.js	./SITES/Einstein%20Kids/native.sharethrough.com/assets/sfp.js	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
22:19:36	2565/2565	---M--	200	added ('OK')	image/png	etag:%228f15c1b59c80fea4b1c5f083b819f10c0c63b950%22	https://thumbor.forbes.com/thumbor/75x0/i.forbesimg.com/media/assets/logos/f-gray.png	./SITES/Einstein%20Kids/thumbor.forbes.com/thumbor/75x0/i.forbesimg.com/media/assets/logos/f-gray.png	(from https://www.forbes.com/sites/quora/2016/08/16/einstein-was-a-formidable-genius-but-what-about-his-kids/)
