date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:34:20	130868/130868	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:34:20%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox.html	(from )
01:34:21	636/636	---MCZ	200	added ('OK')	text/plain	date:Tue,%2012%20Mar%202019%2008:34:20%20GMT	https://developer.mozilla.org/robots.txt		(from )
01:34:21	33808/33808	---M--	200	added ('OK')	font/woff2	date:Thu,%2025%20Oct%202018%2020:20:53%20GMT	https://developer.mozilla.org/static/fonts/locales/ZillaSlab-Regular.subset.bbc33fb47cf6.woff2	./SITES/HTML%20tutorial/developer.mozilla.org/static/fonts/locales/ZillaSlab-Regular.subset.bbc33fb47cf6.woff2	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:23	81537/81537	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2022:56:17%20GMT	https://developer.mozilla.org/static/build/styles/mdn.0383adf7981f.css	./SITES/HTML%20tutorial/developer.mozilla.org/static/build/styles/mdn.0383adf7981f.css	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:23	71525/71525	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2022:56:18%20GMT	https://developer.mozilla.org/static/build/styles/wiki.c0fead7a1495.css	./SITES/HTML%20tutorial/developer.mozilla.org/static/build/styles/wiki.c0fead7a1495.css	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:24	524/524	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Dec%202018%2020:41:25%20GMT	https://developer.mozilla.org/static/build/styles/locale-en-US.520ecdcaef8c.css	./SITES/HTML%20tutorial/developer.mozilla.org/static/build/styles/locale-en-US.520ecdcaef8c.css	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:24	55868/55868	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:34:23%20GMT	https://developer.mozilla.org/en-US/	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/index.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:26	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	./SITES/HTML%20tutorial/www.google-analytics.com/analytics.js	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:26	827/827	---M--	200	added ('OK')	application/opensearchdescription+xml	etag:%224b06d0739f5dfe7ba7e4f0644fb1e279%22	https://developer.mozilla.org/en-US/search/xml	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/search/xml	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:34:27	1327/1327	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Oct%202018%2020:20:54%20GMT	https://developer.mozilla.org/static/img/favicon144.e7e21ca263ca.png	./SITES/HTML%20tutorial/developer.mozilla.org/static/img/favicon144.e7e21ca263ca.png	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
