date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:54	32434/32434	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:51:54%20GMT	https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world.html	(from )
21:51:55	137/137	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Apr%202018%2004:38:00%20GMT	https://www.umcdiscipleship.org/robots.txt		(from )
21:51:55	204/204	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2011%20Apr%202018%2018:20:44%20GMT	https://www.umcdiscipleship.org/favicon.ico	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/favicon.ico	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:51:56	19355/19355	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2005:51:56%20GMT	https://www.umcdiscipleship.org/apple-touch-icon-144x144-precomposed.png	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/apple-touch-icon-144x144-precomposed.png	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:51:57	19355/19355	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2005:51:57%20GMT	https://www.umcdiscipleship.org/apple-touch-icon-114x114-precomposed.png	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/apple-touch-icon-114x114-precomposed.png	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:51:58	19354/19354	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2005:51:58%20GMT	https://www.umcdiscipleship.org/apple-touch-icon-72x72-precomposed.png	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/apple-touch-icon-72x72-precomposed.png	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:51:59	19354/19354	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2005:51:59%20GMT	https://www.umcdiscipleship.org/apple-touch-icon-57x57-precomposed.png	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/apple-touch-icon-57x57-precomposed.png	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:52:00	1226/1226	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jul%202018%2018:17:45%20GMT	https://www.umcdiscipleship.org/apple-touch-icon.png	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/apple-touch-icon.png	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:52:02	199024/199024	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Oct%202018%2014:18:10%20GMT	https://www.umcdiscipleship.org/css/main.css	./SITES/Joy%20to%20the%20World/www.umcdiscipleship.org/css/main.css	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
21:52:02	228/228	---MC-	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2005:52:02%20GMT	https://fonts.googleapis.com/css?family=Oswald	./SITES/Joy%20to%20the%20World/fonts.googleapis.com/css3f04.css	(from https://www.umcdiscipleship.org/resources/history-of-hymns-joy-to-the-world)
