date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:55	97037/97037	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2006:01:52%20GMT	http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.html	(from )
22:01:56	2750/2750	---M--	200	added ('OK')	text/plain	etag:%22620a66d7bebd31:0%22	http://tutorial.math.lamar.edu/robots.txt		(from )
22:01:57	62190/62190	---M-Z	200	added ('OK')	text/css	etag:%220a4bb1a1e24d31:0%22	http://tutorial.math.lamar.edu/css/jquery.mmenu.all.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/css/jquery.mmenu.all.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:01:59	2119/2119	---M--	200	added ('OK')	text/css	etag:%2280d2243f52ed31:0%22	http://tutorial.math.lamar.edu/css/jquery.dropdown.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/css/jquery.dropdown.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:01:59	51525/51525	---M-Z	200	added ('OK')	text/css	etag:%2201ec469ae8d31:0%22	http://tutorial.math.lamar.edu/FA/css/fontawesome-all.min.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/FA/css/fontawesome-all.min.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:01:59	62637/62637	---MC-	200	added ('OK')	application/javascript	date:Wed,%2027%20Feb%202019%2006:01:56%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-331594-1	./SITES/MATH%20IS%20FUN%20:)/www.googletagmanager.com/gtag/js1872	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:02:01	26183/26183	---M-Z	200	added ('OK')	text/css	etag:%22086395c9776d41:0%22	http://tutorial.math.lamar.edu/css/notes-all.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/css/notes-all.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:02:01	1342/1342	---M--	200	added ('OK')	text/css	etag:%226f3aaa2d184fd31:0%22	http://tutorial.math.lamar.edu/css/notes-google.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/css/notes-google.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:02:02	1094/1094	---M--	200	added ('OK')	text/css	etag:%221c8e3dffc03fd41:0%22	http://tutorial.math.lamar.edu/css/notes-mmenu.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/css/notes-mmenu.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
22:02:03	2407/2407	---M--	200	added ('OK')	text/css	etag:%22621e3d36c33fd41:0%22	http://tutorial.math.lamar.edu/css/notes-dropdown.css	./SITES/MATH%20IS%20FUN%20:)/tutorial.math.lamar.edu/css/notes-dropdown.css	(from http://tutorial.math.lamar.edu/Classes/CalcI/DiffFormulas.aspx)
