date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:30	269889/269889	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:57:29%20GMT	https://www.wikihow.com/Roller-Skate	./SITES/Skating/www.wikihow.com/Roller-Skate.html	(from )
21:57:31	1200/1200	---M-Z	200	added ('OK')	text/plain	etag:W/%225c2b1e00-cbf%22	https://www.wikihow.com/robots.txt		(from )
21:57:32	181922/181922	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:57:31%20GMT	https://m.wikihow.com/Roller-Skate	./SITES/Skating/m.wikihow.com/Roller-Skate.html	(from https://www.wikihow.com/Roller-Skate)
21:57:33	113841/113841	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:57:32%20GMT	https://m.wikihow.com/Roller-Skate?amp=1	./SITES/Skating/m.wikihow.com/Roller-Skate5593.html	(from https://www.wikihow.com/Roller-Skate)
21:57:33	1021/1021	---M--	429	error ('Please%20Obey%20Our%20robots.txt')	text/html	date:Wed,%2027%20Feb%202019%2005:57:33%20GMT	https://www.wikihow.com/index.php?title=Roller-Skate&action=edit	./SITES/Skating/www.wikihow.com/index7524.php	(from https://www.wikihow.com/Roller-Skate)
21:57:34	4456/4456	---M--	200	added ('OK')	image/png	etag:%225a49ea80-1168%22	https://www.wikihow.com/skins/WikiHow/wH-initials_152x152.png	./SITES/Skating/www.wikihow.com/skins/WikiHow/wH-initials_152x152.png	(from https://www.wikihow.com/Roller-Skate)
21:57:35	6518/6518	---M-Z	200	added ('OK')	image/x-icon	etag:W/%225a49ea80-1976%22	https://www.wikihow.com/favicon.ico	./SITES/Skating/www.wikihow.com/favicon.ico	(from https://www.wikihow.com/Roller-Skate)
21:57:36	697/697	---M-Z	200	added ('OK')	application/opensearchdescription+xml	date:Wed,%2027%20Feb%202019%2005:57:36%20GMT	https://www.wikihow.com/opensearch_desc.php	./SITES/Skating/www.wikihow.com/opensearch_desc.php	(from https://www.wikihow.com/Roller-Skate)
21:57:37	577/577	---MCZ	200	added ('OK')	application/rsd+xml	date:Wed,%2027%20Feb%202019%2005:57:37%20GMT	http://www.wikihow.com/api.php?action=rsd	./SITES/Skating/www.wikihow.com/api251f.php	(from https://www.wikihow.com/Roller-Skate)
21:57:38	1021/1021	---M--	429	error ('Please%20Obey%20Our%20robots.txt')	text/html	date:Wed,%2027%20Feb%202019%2005:57:38%20GMT	https://www.wikihow.com/index.php?title=Special:RecentChanges&feed=atom	./SITES/Skating/www.wikihow.com/index890f.php	(from https://www.wikihow.com/Roller-Skate)
21:57:41	624448/624448	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%225c76205b-98740%22	https://www.wikihow.com/feed.rss	./SITES/Skating/www.wikihow.com/feed.rss	(from https://www.wikihow.com/Roller-Skate)
21:57:41	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2005:57:40%20GMT	https://www.wikihow.com/android-app://com.wikihow.wikihowapp/http/www.wikihow.com/Roller-Skate	./SITES/Skating/www.wikihow.com/android-app_/com.wikihow.wikihowapp/http/www.wikihow.com/Roller-Skate.b.delayed	(from https://www.wikihow.com/Roller-Skate)
21:57:41	726495/726495	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2005:57:39%20GMT	https://plus.google.com/102818024478962731382	./SITES/Skating/plus.google.com/102818024478962731382.html	(from https://www.wikihow.com/Roller-Skate)
21:57:42	125617/125617	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2005:57:42%20GMT	https://www.wikihow.com/Android-app://com.wikihow.wikihowapp/http/www.wikihow.com/Roller-Skate	./SITES/Skating/www.wikihow.com/Android-app_/com.wikihow.wikihowapp/http/www.wikihow.com/Roller-Skate	(from https://www.wikihow.com/Roller-Skate)
