date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:17	248706/248706	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2021:29:04%20GMT	https://en.wikipedia.org/wiki/Pineapple	./SITES/en.wikipedia.org/wiki/Pineapple.html	(from )
13:32:18	5180/5180	U-----	200	untouched ('OK')	text/plain	date:Wed,%2002%20Jan%202019%2016:40:02%20GMT	https://en.wikipedia.org/robots.txt		(from )
13:32:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202019%2021:22:54%20GMT	https://en.wikipedia.org/wiki/mw.TMHGalleryHook.js	./SITES/en.wikipedia.org/wiki/mw.TMHGalleryHook.js	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:19	26915/26915	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Feb%202019%2021:32:19%20GMT	https://en.wikipedia.org/wiki/Mw.TMHGalleryHook.js	./SITES/en.wikipedia.org/wiki/Mw.TMHGalleryHook.js	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202019%2021:32:20%20GMT	https://en.wikipedia.org/wiki/android-app://org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	./SITES/en.wikipedia.org/wiki/android-app_/org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:21	29227/29227	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Feb%202019%2021:32:21%20GMT	https://en.wikipedia.org/wiki/Android-app://org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	./SITES/en.wikipedia.org/wiki/Android-app_/org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:22	32046/32046	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Feb%202019%2008:47:03%20GMT	https://en.wikipedia.org/wiki/Pineapple_(disambiguation)	./SITES/en.wikipedia.org/wiki/Pineapple_(disambiguation).html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:24	55353/55353	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2021:32:23%20GMT	https://en.wikipedia.org/wiki/File:%e0%b4%95%e0%b5%88%e0%b4%a4%e0%b4%9a%e0%b5%8d%e0%b4%9a%e0%b4%95%e0%b5%8d%e0%b4%95.jpg	./SITES/en.wikipedia.org/wiki/File_%e0%b4%95%e0%b5%88%e0%b4%a4%e0%b4%9a%e0%b5%8d%e0%b4%9a%e0%b4%95%e0%b5%8d%e0%b4%95.html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:24	203637/203637	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202019%2021:31:07%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Protection_policy	./SITES/en.wikipedia.org/wiki/Wikipedia_Protection_policy.html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:24	33194/33194	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Feb%202019%2020:14:43%20GMT	https://en.wikipedia.org/wiki/Template:Taxonomy/Ananas	./SITES/en.wikipedia.org/wiki/Template_Taxonomy/Ananas.html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:26	245564/245564	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202019%2021:28:55%20GMT	https://en.wikipedia.org/wiki/Taxonomy_(biology)	./SITES/en.wikipedia.org/wiki/Taxonomy_(biology).html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:26	370006/370006	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202019%2021:28:51%20GMT	https://en.wikipedia.org/wiki/Flowering_plant	./SITES/en.wikipedia.org/wiki/Flowering_plant.html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:26	469744/469744	U-----	200	untouched ('OK')	text/html	date:Tue,%2019%20Feb%202019%2009:55:59%20GMT	https://en.wikipedia.org/wiki/Plant	./SITES/en.wikipedia.org/wiki/Plant.html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:28	74331/74331	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Feb%202019%2020:13:17%20GMT	https://en.wikipedia.org/wiki/Commelinids	./SITES/en.wikipedia.org/wiki/Commelinids.html	(from https://en.wikipedia.org/wiki/Pineapple)
13:32:28	451420/451420	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2021:29:03%20GMT	https://en.wikipedia.org/wiki/Monocotyledon	./SITES/en.wikipedia.org/wiki/Monocotyledon.html	(from https://en.wikipedia.org/wiki/Pineapple)
