date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:20	245168/245168	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2019:48:41%20GMT	https://en.wikipedia.org/wiki/Pineapple	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/wiki/Pineapple.html	(from )
22:54:21	5180/5180	---M-Z	200	added ('OK')	text/plain	date:Sat,%2027%20Apr%202019%2013:07:37%20GMT	https://en.wikipedia.org/robots.txt		(from )
22:54:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20May%202019%2005:39:14%20GMT	https://en.wikipedia.org/wiki/mw.TMHGalleryHook.js	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/wiki/mw.TMHGalleryHook.js	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:22	25774/25774	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20May%202019%2005:54:22%20GMT	https://en.wikipedia.org/wiki/Mw.TMHGalleryHook.js	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/wiki/Mw.TMHGalleryHook.js	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:24	50407/50407	---M-Z	200	added ('OK')	text/css	etag:W/%221vym47j%22	https://en.wikipedia.org/w/load.php?lang=en&modules=ext.3d.styles%7Cext.cite.styles%7Cext.tmh.thumbnail.styles%7Cext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediaBadges%7Cmediawiki.legacy.commonPrint%2Cshared%7Cmediawiki.page.gallery.styles%7Cmediawiki.skinning.interface%7Cmediawiki.toc.styles%7Cskins.vector.styles%7Cwikibase.client.init&only=styles&skin=vector	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/w/loade669.css	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:25	104445/104445	---M-Z	200	added ('OK')	text/javascript	etag:W/%2215htccx%22	https://en.wikipedia.org/w/load.php?lang=en&modules=startup&only=scripts&skin=vector	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/w/load3e21.php	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:25	277/277	---M-Z	200	added ('OK')	text/css	etag:W/%2204mtmmu%22	https://en.wikipedia.org/w/load.php?lang=en&modules=ext.gadget.charinsert-styles&only=styles&skin=vector	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/w/load9cdc.css	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:26	18755/18755	---M-Z	200	added ('OK')	text/css	etag:W/%220o4xag0%22	https://en.wikipedia.org/w/load.php?lang=en&modules=site.styles&only=styles&skin=vector	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/w/load2f5e.css	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20May%202019%2005:54:27%20GMT	https://en.wikipedia.org/wiki/android-app://org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/wiki/android-app_/org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:28	28086/28086	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20May%202019%2005:54:29%20GMT	https://en.wikipedia.org/wiki/Android-app://org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/wiki/Android-app_/org.wikipedia/http/en.m.wikipedia.org/wiki/Pineapple	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:29	1399/1399	---M--	200	added ('OK')	image/png	etag:%22577-555b96444d3ae%22	https://en.wikipedia.org/static/apple-touch/wikipedia.png	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/static/apple-touch/wikipedia.png	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:30	2734/2734	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22aae-52e0629e358c0%22	https://en.wikipedia.org/static/favicon/wikipedia.ico	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/static/favicon/wikipedia.ico	(from https://en.wikipedia.org/wiki/Pineapple)
22:54:31	906/906	---M-Z	200	added ('OK')	application/opensearchdescription+xml	date:Wed,%2029%20May%202019%2005:54:31%20GMT	https://en.wikipedia.org/w/opensearch_desc.php	./CONTENT/page%20titlefor%20pineapples/en.wikipedia.org/w/opensearch_desc.php	(from https://en.wikipedia.org/wiki/Pineapple)
